Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Tortilla,296,51,4.7,7.9,5.9,1.1,4.4,0.40,,n
Uva,69,15.2,15.1,0.7,0.3,0.1,1.5,0.25,,y
Uvetta,292,68,68,2.5,0.3,0.1,5.2,0.30,,n
Uovo,137,1.5,1.5,11.9,9.3,6,0,0.30,,y
Vellutata di zucca,36,7.18,2.21,0.79,0.14,0,1.41,0.40,,n
Wrap (avocado),181,25,3.2,4.3,6.2,0.9,3.9,1.20,,n
Wrap (pollo),273,27,3.7,9.4,14,1.3,0.8,0.35,,n
Yogurt (3.5%),69,3.8,3.8,4.8,3.5,2.3,0,0.30,,n
Yogurt (cocco),94,5.2,0.8,0.7,7.7,7.1,0.5,0.50,,n
Yogurt (greco 2%),58,4,4,6,2,1.4,0,0.35,,n
Yogurt (mandorla),61,6.4,0.2,1.3,3.1,0.2,1,0.40,,n
Zucca (Butternut),48,9.7,2.2,1,0.1,0,2,0.30,,n
Zucca (Hokkaido),70,13.6,6.3,1.7,0.5,0,2.4,0.30,,n
Zucchero,400,100,100,0,0,0,0,0.15,,n
Zucchina,23,2.3,2.3,2,0.3,0,1.1,0.30,,n
